# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
        -120          54
        -124          68
        -136          70
        -156          80
        -160          84
        -128          74
        -116          60
        -120          62
        -116          62
        -124          62
        -144          74
        -152          82
        -160          82
        -152          82
        -140          60
        -144          64
        -144          62
        -128          64
        -128          66
        -104          56
        -116          54
        -116          50
        -140          56
        -140          60
        -148          72
        -144          78
        -144          80
        -148          78
        -156          80
        -136          72
        -144          82
        -200         100
        -192          98
        -192          98
        -200         100
        -168          90
        -168          88
        -164          90
        -176          94
        -184          96
        -184          96
        -180          94
        -200         100
        -180          94
        -184          96
        -168          92
        -164          90
        -164          90
        -160          90
        -164          88
        -160          88
        -184          96
        -152          86
        -164          90
        -184          96
        -168          92
        -156          88
        -164          90
        -112          70
        -172          90
        -164          88
        -172          92
        -168          90
        -192          98
        -192          98
        -192          98
        -184          96
        -184          96
        -176          92
